x,y,surveydate,crownspcom,ladderspco,depthorgan,surfacefco,deadanddow,ladderfuel,ladderfu_1,stemperha_,overstoryc,crownclosu,fuelstrata,stemperha1,deadanddyi,pest,fueltype,creationda,editdate,ladderclos,health,fueltype_c,feature_id,ctr_lat,ctr_lon,image,row,lin,xoff,yoff,20190809 10m: b4 central wavelength 665 nm,20190809 10m: b3 central wavelength 560 nm,20190809 10m: b2 central wavelength 490 nm,20190809 10m: b8 central wavelength 842 nm,20190809 20m: b5 central wavelength 705 nm,20190809 20m: b6 central wavelength 740 nm,20190809 20m: b7 central wavelength 783 nm,20190809 20m: b8a central wavelength 865 nm,20190809 20m: b11 central wavelength 1610 nm,20190809 20m: b12 central wavelength 2190 nm,20190809 60m: b1 central wavelength 443 nm,20190809 60m: b9 central wavelength 945 nm,20190908 10m: b4 central wavelength 665 nm,20190908 10m: b3 central wavelength 560 nm,20190908 10m: b2 central wavelength 490 nm,20190908 10m: b8 central wavelength 842 nm,20190908 20m: b5 central wavelength 705 nm,20190908 20m: b6 central wavelength 740 nm,20190908 20m: b7 central wavelength 783 nm,20190908 20m: b8a central wavelength 865 nm,20190908 20m: b11 central wavelength 1610 nm,20190908 20m: b12 central wavelength 2190 nm,20190908 60m: b1 central wavelength 443 nm,20190908 60m: b9 central wavelength 945 nm,20200405 10m: b4 central wavelength 665 nm,20200405 10m: b3 central wavelength 560 nm,20200405 10m: b2 central wavelength 490 nm,20200405 10m: b8 central wavelength 842 nm,20200405 20m: b5 central wavelength 705 nm,20200405 20m: b6 central wavelength 740 nm,20200405 20m: b7 central wavelength 783 nm,20200405 20m: b8a central wavelength 865 nm,20200405 20m: b11 central wavelength 1610 nm,20200405 20m: b12 central wavelength 2190 nm,20200405 60m: b1 central wavelength 443 nm,20200405 60m: b9 central wavelength 945 nm,20200915 10m: b4 central wavelength 665 nm,20200915 10m: b3 central wavelength 560 nm,20200915 10m: b2 central wavelength 490 nm,20200915 10m: b8 central wavelength 842 nm,20200915 20m: b5 central wavelength 705 nm,20200915 20m: b6 central wavelength 740 nm,20200915 20m: b7 central wavelength 783 nm,20200915 20m: b8a central wavelength 865 nm,20200915 20m: b11 central wavelength 1610 nm,20200915 20m: b12 central wavelength 2190 nm,20200915 60m: b1 central wavelength 443 nm,20200915 60m: b9 central wavelength 945 nm
-131.1842058462,57.897328797967,2020/07/29,0,0,1 - <2,pinegrass,absent,absent,absent,<500,absent,<20,>10,<400,>75,,unclassified,2020/08/04,2020/08/04,<20,none,sparse uncured stand grass but not representative of o1b. in old burn with sparse burned juniper shrub,44,-131.1842058462,57.897328797967,raster_epsg_32609.bin,7053,8066,0,0,867,642,418,1516,960.625,1277.9375,1393.5625,1506.0625,2291.25,2088.25,282.333343505859,1549.69445800781,785,605,377,1608,909.125,1300.8125,1425.9375,1562.9375,2070.9375,1828.875,243.944442749023,1599.45141601562,4212,4263,4110,3931,3462.375,3234.4375,3092,3068.6875,1146.25,1000.9375,2099.3125,2978.84716796875,631,546,289,1426,808.5,1104.5,1218.3125,1386.25,1800.5,1347.0625,127.513885498047,1358.26391601562
-131.183264044542,57.8998773487653,2020/07/29,0,0,1 - <2,absent,absent,absent,absent,<500,absent,<20,>10,901 - 1200,>75,,unclassified,2020/08/04,2020/08/04,<20,none,c3 stand that burned clean in alkali lake fire. all decidious regen.,45,-131.183264044542,57.8998773487654,raster_epsg_32609.bin,7060,8038,0,0,442,323,161,1050,659.8125,910,1049.5,1187.0625,1731.9375,1421.75,173.25,1447.125,343,247,136,891,626.1875,757.8125,896.75,970.125,1532.9375,1271.3125,134.3125,1279.3125,2853,2557,2628,2819,3095.25,3116.6875,2871.8125,2860.125,542.3125,534.375,3260.4375,3366.25,329,226,75,799,534.0625,707.4375,767,918,1529.5625,1234.5,76.875,1069.375
-131.166753671398,57.9127358644577,2020/07/29,0,0,1 - <2,moss,scattered,absent,absent,<500,absent,<20,>10,601 - 900,>75,,unclassified,2020/08/04,2020/08/04,<20,none,decidious stand fully burned. all decidious regen.,46,-131.166753671398,57.9127358644577,raster_epsg_32609.bin,7162,7898,0,0,639,548,413,1688,884.125,1429.6875,1564.625,1706.0625,2291.375,1868,306.25,1829.25,487,455,262,1929,804.5625,1562,1734.125,1850.625,2005.875,1439.25,229.125,1975.1875,6236,6131,5753,5796,6314.6875,6061.4375,5728,5494.875,705.375,696.3125,4989.5625,5153.0625,334,350,134,1808,712.125,1325.5625,1487,1799.8125,1751.6875,1088.625,85.5416641235352,1751.625
-131.226219916951,57.9065289069853,2020/07/29,0,0,1 - <2,moss,scattered,elevateddead,sparse,<500,coniferlow,<20,>10,601 - 900,>75,,unclassified,2020/08/04,2020/08/04,<20,none,old burn. mixed conifer stand burned. do we want to count regen composition as understory? regen all decidious,47,-131.226219916951,57.9065289069853,raster_epsg_32609.bin,6808,7956,0,0,364,368,153,1772,735.4375,1213.0625,1382.875,1585.5625,1587.875,964.25,143.91667175293,1657.125,343,320,116,1512,678.25,1117.5625,1273.25,1413.1875,1458.5,886.875,102.25,1495.02087402344,2568,2136,1976,2815,2404.375,2543.1875,2359.3125,2527.75,653.5,544.8125,2387.47924804688,2873.77075195312,362,290,130,1074,529.3125,773.5,918.125,1070.875,1540.8125,1026.5,117.895835876465,1185.16662597656
-131.255481163861,57.8825318359949,2020/07/29,0,0,1 - <2,moss,scattered,absent,absent,<500,absent,<20,>10,901 - 1200,>75,,unclassified,2020/08/04,2020/08/04,<20,none,old burn. decidious. no crown fire potential,48,-131.255481163861,57.8825318359949,raster_epsg_32609.bin,6625,8217,0,0,507,485,309,1862,788.4375,1304.25,1464.4375,1657.375,1974.9375,1344.0625,294.875,1708.45837402344,469,463,287,1660,744.8125,1248,1346.625,1572.9375,1768.375,1195.9375,244.41667175293,1695.54162597656,4743,4731,4663,4598,4197.5,4313,4075.375,3969.375,780.5,709.8125,4777.02099609375,4590.10400390625,432,383,224,1152,567.6875,820.5,907.875,1128.75,1691.125,1137.0625,147.35417175293,1211.54162597656
-131.186903535486,57.8977855455822,2020/07/29,0,0,1 - <2,absent,scattered,absent,absent,<500,absent,<20,>10,601 - 900,>75,,unclassified,2020/08/04,2020/08/04,<20,none,mixed wood pine/aspen stand in 2018 burn. fireweed and aspen regen,49,-131.186903535486,57.8977855455822,raster_epsg_32609.bin,7037,8061,0,0,379,402,172,2119,759.6875,1506.9375,1676.375,1847.6875,1610.9375,1044.6875,126.520835876465,1403.625,389,328,159,1585,686.25,1193.6875,1314.5,1484.25,1405.0625,888.1875,89.6111145019531,1230.40966796875,2139,1886,1630,2398,2133,2159.4375,2138.25,2162.0625,700.8125,587.875,2369.96533203125,2436.33325195312,273,184,74,782,397.8125,585.625,702.875,859.5625,1265.5,822.375,10.8194446563721,870.506958007812
-130.906438280106,58.0445452952263,2020/07/30,0,0,1 - <2,moss,absent,absent,absent,<500,absent,<20,>10,<400,51 - 75,,unclassified,2020/08/04,2020/08/04,<20,none,old burn from 2018. former c7 stand with fireweed and grass regen. no tenure potential.,50,-130.906438280106,58.0445452952263,raster_epsg_32609.bin,8746,6478,0,0,777,519,311,1532,983.0625,1268.125,1421.5625,1584,2054.1875,1662.6875,213.625,1399.875,651,458,263,1580,931.25,1236.5625,1361.625,1502.9375,1878.0625,1449.8125,140.1875,1332.4375,5534,5493,5150,5713,5599.75,5622.3125,5455.1875,5330.9375,983.0625,880.1875,4922.3125,5268.4375,608,423,210,1450,840.125,1086.0625,1183.0625,1415.125,1708.25,1205.25,84.3125,1300.75
-130.953344278182,58.0636002024624,2020/07/30,0,0,1 - <2,moss,absent,absent,absent,<500,absent,<20,<3,901 - 1200,>75,,unclassified,2020/08/04,2020/08/04,<20,none,old burn from 2018. former spruce/aspen thicket stand. no tenure potential. regen fireweed and aspen,51,-130.953344278182,58.0636002024624,raster_epsg_32609.bin,8475,6258,0,0,456,451,269,1913,887,1563.9375,1688.75,1886.875,2113.8125,1630.6875,459.159729003906,1950.06945800781,375,404,199,1799,802.875,1488.4375,1631.4375,1778.8125,1746.5,1236.375,275.229156494141,1822.08337402344,5794,5797,6034,5723,6066.8125,5886.625,5664.125,5541.6875,1010.8125,999.8125,6377.125,5920.611328125,357,310,150,1372,681.125,1105.875,1298.125,1590.125,1721.125,1063.75,126.243057250977,1867.29858398438
-130.998497820838,58.0856713976024,2020/07/30,0,0,1 - <2,moss,scattered,absent,absent,<500,absent,<20,>10,601 - 900,>75,,unclassified,2020/08/04,2020/08/04,<20,none,old burn from 2018. scorched pine stand with aspen and willow regen. no tenure potential.,52,-130.998497820838,58.0856713976024,raster_epsg_32609.bin,8216,6004,0,0,529,414,263,1246,825.4375,1191.125,1288,1415.875,2038.875,1855.625,232.4375,1555.1875,441,370,220,1122,745.1875,1087.625,1204.1875,1303,1823.625,1598.1875,179.41667175293,1406,6137,6260,6016,5989,6644.8125,6475.4375,6069.5,6102.4375,796.875,831.375,5979.10400390625,6023.77099609375,397,356,149,1288,796.1875,1122.5,1234.3125,1427.6875,1820.375,1328.875,134.58332824707,1426.04162597656
-131.0024134572,58.0872643680853,2020/07/30,0,0,1 - <2,moss,10-25,absent,absent,<500,absent,<20,<3,<400,>75,,unclassified,2020/08/04,2020/08/04,<20,none,old burn in blowdown area. blowdown isn’t continuous enough to carry fire. regen is fireweed.,53,-131.0024134572,58.0872643680853,raster_epsg_32609.bin,8193,5986,0,0,1080,947,844,1694,1220.0625,1546.9375,1673.9375,1869.125,2667.375,2463.0625,567.916687011719,1970.02087402344,474,458,323,1049,709,1060,1187.5625,1285.5,1589.5625,1217.4375,223.4375,1417.25,6328,5948,6179,6197,6621.5,6458.1875,6200.875,6046.625,847.5,876.8125,6090.02099609375,5888.79150390625,388,498,211,2272,909,1884.5,2077.4375,2386.125,1697.4375,1065.5,143.0625,2296.125
