X,Y,SurveyDate,CrownSpCom,LadderSpCo,DepthOrgan,SurfaceFCo,DeadandDow,Ladderfuel,Ladderfu_1,StemPerha_,Overstoryc,CrownClosu,FuelStrata,StemPerha1,DeadandDyi,Pest,FuelType,CreationDa,EditDate,Ladderclos,Health,FuelType_c,Health_Imp
-129.232049633822,59.8749345668186,2020/07/28,0,0,2 - <5,Deadfines,10-25,Elevateddead,Patchy,<500,Coniferhigh,<20,>10,<400,<20,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn. Fire 93.,
-129.217140417838,59.878115021502,2020/07/28,0,0,1 - <2,Deadfines,26-50,Elevateddead,Uniform,<500,Coniferlow,<20,6 - 9,<400,>75,,Unclassified,2020/08/04,2020/08/04,41 - 70,None,2009 fire 93.  Also deciduous understory. Willow. ,
-129.208217801863,59.8744450023147,2020/07/28,0,0,2 - <5,Deadfines,>50,Elevateddead,Patchy,<500,Coniferlow,<20,3 - 6,<400,51 - 75,,Unclassified,2020/08/04,2020/08/04,41 - 70,None,2009 burn,
-129.186842348758,59.8761266332056,2020/07/28,0,0,1 - <2,Lichen,Scattered,Absent,Absent,>3000,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn pine regen,
-129.153091336271,59.8619639120898,2020/07/28,0,0,1 - <2,Deadfines,Scattered,Sprucefirpine,Sparse,<500,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009  burn patchy down material and willow. Not a big threat.,
-129.13429868765,59.8330508957679,2020/07/28,0,0,1 - <2,Moss,Scattered,Elevateddead,Sparse,<500,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn,
-129.134190797786,59.831455653273,2020/07/28,0,0,1 - <2,Moss,Scattered,Mixwood,Sparse,<500,Absent,<20,>10,401 - 600,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,2009 burn. Grass being overgrown by deciduous shrubs and scattered Pl regen.,
-129.127390128277,59.7781816303507,2020/07/28,0,0,1 - <2,Moss,Absent,Sprucefirpine,Scattered,501-1000,Coniferhigh,<20,>10,<400,<20,,Unclassified,2020/08/04,2020/08/04,20 - 40,None,Fire 93. 2009. Premium site. Pine/spruce and aspen natural regen is 100% larger than other sites,
-129.105765930781,59.7361927558864,2020/07/29,0,0,2 - <5,Pinegrass,Scattered,Decidious,Patchy,501-1000,Coniferhigh,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,20 - 40,Insect,Grass is the dominant ground cover that will carry fire. Crown fire not possible.,Foliage
-131.1842058462,57.897328797967,2020/07/29,0,0,1 - <2,Pinegrass,Absent,Absent,Absent,<500,Absent,<20,>10,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Sparse uncured stand grass but not representative of o1b. In old burn with sparse burned juniper shrub,
-131.183264044542,57.8998773487653,2020/07/29,0,0,1 - <2,Absent,Absent,Absent,Absent,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,C3 stand that burned clean in alkali lake fire. All decidious regen.,
-131.166753671398,57.9127358644577,2020/07/29,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Decidious stand fully burned. All decidious regen.,
-131.226219916951,57.9065289069853,2020/07/29,0,0,1 - <2,Moss,Scattered,Elevateddead,Sparse,<500,Coniferlow,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn. Mixed conifer stand burned. Do we want to count regen composition as understory? Regen all decidious,
-131.255481163861,57.8825318359949,2020/07/29,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn. Decidious. No crown fire potential,
-131.186903535486,57.8977855455822,2020/07/29,0,0,1 - <2,Absent,Scattered,Absent,Absent,<500,Absent,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Mixed wood pine/aspen stand in 2018 burn. Fireweed and aspen regen,
-130.906438280106,58.0445452952263,2020/07/30,0,0,1 - <2,Moss,Absent,Absent,Absent,<500,Absent,<20,>10,<400,51 - 75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Former c7 stand with fireweed and grass regen. No tenure potential.,
-130.953344278182,58.0636002024624,2020/07/30,0,0,1 - <2,Moss,Absent,Absent,Absent,<500,Absent,<20,<3,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Former spruce/aspen thicket stand. No tenure potential. Regen fireweed and aspen,
-130.998497820838,58.0856713976024,2020/07/30,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,601 - 900,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Scorched pine stand with aspen and willow regen. No tenure potential.,
-131.0024134572,58.0872643680853,2020/07/30,0,0,1 - <2,Moss,10-25,Absent,Absent,<500,Absent,<20,<3,<400,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn in blowdown area. Blowdown isn’t continuous enough to carry fire. Regen is fireweed.,
-131.103511021681,58.0985242360889,2020/07/30,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,401 - 600,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn from 2018. Previously D2 fuel type with scattered pine. Patchy burn with some of the aspen still alive. Regen is all aspen and grass.,
-131.141854837545,58.0942990228526,2020/07/30,0,0,1 - <2,Absent,Absent,Absent,Absent,<500,Absent,<20,<3,<400,<20,,O1,2020/08/04,2020/08/04,<20,None,Sparse sagebrush and grass along hillside. Standing grass.,
-131.15341396798,58.0935350605011,2020/07/30,0,0,1 - <2,Pinegrass,Scattered,Absent,Absent,<500,Absent,<20,>10,401 - 600,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,Old burn. Previously a M2 25%. Regen is dense fireweed and grass in patches,
-130.786934533383,58.078222857996,2020/07/29,0,0,1 - <2,Deadfines,10-25,Elevateddead,Scattered,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,20 - 40,None,Old burn. Former m2 50% conifer. Windfall area with lots of dead and down.,
-131.016909283557,57.9994090339727,2020/07/29,0,0,1 - <2,Pinegrass,Absent,Absent,Absent,<500,Absent,<20,<3,<400,<20,,O1,2020/08/04,2020/08/04,,None,Standing grass.,
-131.084784049067,57.9648351253822,2020/07/29,0,0,2 - <5,Deadfines,Scattered,Absent,Absent,<500,Deciduous,20 - 40,>10,901 - 1200,<20,,D1,2020/08/04,2020/08/04,<20,None,Green aspen stand. Unburned,
-131.085703650859,57.9649870003962,2020/07/29,0,0,1 - <2,Moss,10-25,Elevateddead,Patchy,<500,Absent,<20,>10,>1200,>75,,Unclassified,2020/08/04,2020/08/04,<20,None,D2 stand burned in 2018. Regen is all fireweed and aspen.,
-131.101657110767,57.9363745626558,2020/07/29,0,0,1 - <2,Moss,Scattered,Elevateddead,Scattered,501-1000,Absent,<20,<3,>1200,>75,,Unclassified,2020/08/04,2020/08/04,20 - 40,None,Burned C3/C4 stand from surface fire. Regen is sparse.,
-131.125631744031,57.9156512571252,2020/07/29,0,0,1 - <2,Moss,Scattered,Absent,Absent,<500,Absent,<20,>10,901 - 1200,>75,,Unclassified,2020/08/04,2020/08/04,,None,Burned c3 stand. Regen is mostly fireweed and aspen with pine saplings.,
