Fire Name,FINE_FUEL_MOISTURE_CODE,INITIAL_SPREAD_INDEX,FIRE_WEATHER_INDEX
Mt Christie,96.6,15.7,50
Rock Creek,98,17.8,57
Elephant Hill,95.6,15.5,49.4
White Lake (Cariboo),95.9,17.2,56
Hanceville (Cariboo),95.1,28.8,76.4
Princeton,97.9,23,66
Lytton,96.5,18.2,58
Sparks Lake 1,97.3,18.5,58
Sparks Lake 2,98.7,24.2,68
Sparks Lake 3,98.8,35.1,85
West Kelowna (McDougall Ck),95.2,13.2,47
Adams Lake (Bush Ck East),94,10.2,39
Gunn Lake (Downton Lk),94.4,13,43
St Mary's River,95,38.2,72.5
Ross Moore Lake,93.6,13.8,34
Parker Lake,95.4,37.1,70.5
Slocan Complex,96.7,18.6,36.5
