knn_use,n_seg
1,85538
2,24725
3,16164
4,11383
5,8400
6,6462
7,5217
8,4260
9,3580
10,3044
11,2671
12,2326
13,2076
14,1834
15,1628
16,1501
17,1361
18,1249
19,1163
20,1092
21,1043
22,987
23,918
24,867
25,816
26,766
27,701
28,665
29,626
30,595
31,577
32,545
33,512
34,486
35,467
36,454
37,437
38,423
39,413
40,402
41,392
42,384
43,369
44,364
45,349
46,335
47,332
48,322
49,315
50,306
51,295
52,287
53,278
54,271
55,270
56,263
57,257
58,250
59,245
60,245
61,239
62,236
63,231
64,228
65,223
66,220
67,212
68,209
69,203
70,200
71,198
72,192
73,190
74,186
75,182
76,176
77,172
78,175
79,169
80,165
81,164
82,164
83,161
84,159
85,155
86,152
87,148
88,147
89,143
90,141
91,138
92,137
93,135
94,132
95,133
96,129
97,128
98,126
99,122
100,121
101,118
102,115
103,117
104,116
105,113
106,113
107,112
108,111
109,112
110,110
111,111
112,111
113,109
114,108
115,108
116,108
117,105
118,101
119,101
120,101
121,98
122,98
123,97
124,96
125,95
126,94
127,94
128,95
129,94
130,91
131,90
132,89
133,91
134,87
135,87
136,87
137,84
138,84
139,83
140,81
141,80
142,80
143,78
144,78
145,77
146,75
147,74
148,72
149,74
150,73
151,72
152,72
153,71
154,71
155,71
156,72
157,71
158,71
159,71
160,71
161,69
162,69
163,68
164,68
165,67
166,66
167,64
168,64
169,63
170,63
171,62
172,62
173,61
174,61
175,61
176,62
177,61
178,61
179,60
180,60
181,61
182,61
183,61
184,60
185,59
186,58
187,58
188,58
189,58
190,56
191,56
192,57
193,56
194,54
195,53
196,52
197,51
198,50
199,49
200,49
201,48
202,47
203,48
204,48
205,46
206,46
207,46
208,46
209,46
210,45
211,45
212,43
213,41
214,41
215,41
216,41
217,41
218,41
219,41
220,41
221,41
222,43
223,43
224,44
225,43
226,44
227,43
228,42
229,42
230,41
231,42
232,42
233,42
234,41
235,41
236,40
237,39
238,38
239,37
240,37
241,36
242,36
243,36
244,36
245,35
246,35
247,35
248,35
249,35
250,35
251,35
252,34
253,34
254,34
255,34
256,34
257,34
258,35
259,34
260,34
261,35
262,35
263,35
264,35
265,35
266,34
267,34
268,33
269,33
270,33
271,33
272,33
273,33
274,34
275,34
276,34
277,34
278,33
279,33
280,33
281,33
282,33
283,33
284,33
285,33
286,33
287,33
288,33
289,33
290,33
291,33
292,33
293,33
294,33
295,33
296,33
297,33
298,32
299,32
300,32
301,32
302,32
303,32
304,32
305,32
306,32
307,32
308,32
309,32
310,31
311,30
312,30
313,30
314,30
315,29
316,28
317,28
318,27
319,27
320,27
321,27
322,27
323,27
324,27
325,26
326,26
327,26
328,26
329,26
330,26
331,26
332,25
333,25
334,25
335,25
336,25
337,25
338,25
339,25
340,25
341,25
342,25
343,25
344,24
345,24
346,24
347,24
348,24
349,23
350,23
351,23
352,23
353,23
354,23
355,23
356,23
357,23
358,23
359,22
360,22
361,22
362,22
363,21
364,21
365,21
366,21
367,21
368,20
369,20
370,20
371,20
372,20
373,20
374,20
375,20
376,20
377,20
378,20
379,20
380,20
381,20
382,20
383,20
384,20
385,20
386,20
387,20
388,20
389,20
390,21
391,21
392,20
393,20
394,20
395,20
396,20
397,20
398,20
399,20
400,20
401,20
402,20
403,20
404,20
405,20
406,20
407,20
408,20
409,20
410,20
411,20
412,20
413,21
414,21
415,21
416,21
417,21
418,21
419,21
420,21
421,21
422,21
423,21
424,21
425,21
426,21
427,21
428,21
429,21
430,21
431,21
432,21
433,20
434,20
435,20
436,20
437,20
438,20
439,20
440,20
441,20
442,20
443,20
444,20
445,20
446,20
447,20
448,20
449,20
450,20
451,20
452,20
453,20
454,20
455,20
456,20
457,19
458,19
459,19
460,19
461,19
462,19
463,19
464,19
465,19
466,19
467,19
468,19
469,19
470,19
471,19
472,19
473,19
474,19
475,19
476,19
477,19
478,19
479,19
480,19
481,19
482,19
483,19
484,18
485,18
486,18
487,18
488,18
489,18
490,18
491,18
492,18
493,18
494,18
495,18
496,18
497,18
498,18
499,17
500,17
501,17
502,17
503,17
504,17
505,17
506,17
507,17
508,17
509,17
510,17
511,17
512,17
513,17
514,17
515,17
516,17
517,18
518,18
519,18
520,18
521,18
522,18
523,18
524,18
525,18
526,18
527,18
528,18
529,18
530,18
531,18
532,18
533,18
534,18
535,18
536,18
537,18
538,18
539,18
540,18
541,18
542,18
543,18
544,18
545,18
546,18
547,18
548,18
549,18
550,17
551,17
552,17
553,17
554,17
555,17
556,17
557,17
558,17
559,18
560,17
561,17
562,17
563,17
564,17
565,17
566,17
567,17
568,17
569,17
570,17
571,17
572,17
573,17
574,17
575,17
576,17
577,17
578,17
579,17
580,17
581,17
582,17
583,17
584,17
585,17
586,17
587,17
588,17
589,17
590,17
591,17
592,17
593,17
594,17
595,17
596,17
597,17
598,17
599,17
600,16
601,16
602,16
603,16
604,16
605,16
606,16
607,16
608,16
609,16
610,16
611,16
612,16
613,16
614,16
615,16
616,16
617,16
618,16
619,16
620,16
621,16
622,16
623,16
624,17
625,17
626,17
627,17
628,17
629,17
630,17
631,17
632,17
633,17
634,17
635,17
636,17
637,16
638,16
639,16
640,16
641,16
642,16
643,16
644,16
645,16
646,16
647,16
648,17
649,17
650,17
651,17
652,17
653,17
654,17
655,17
656,17
657,17
658,17
659,17
660,17
661,17
662,17
663,17
664,17
665,17
666,17
667,17
668,17
669,17
670,17
671,17
672,17
673,17
674,17
675,17
676,17
677,17
678,17
679,17
680,17
681,17
682,17
683,17
684,17
685,17
686,17
687,17
688,17
689,17
690,17
691,17
692,17
693,17
694,17
695,17
696,17
697,17
698,17
699,17
700,17
701,17
702,17
703,17
704,17
705,17
706,17
707,17
708,17
709,16
710,16
711,15
712,15
713,15
714,15
715,15
716,15
717,15
718,15
719,15
720,15
721,15
722,15
723,15
724,15
725,15
726,15
727,15
728,15
729,14
730,14
731,14
732,13
733,13
734,13
735,13
736,13
737,13
738,13
739,13
740,13
741,13
742,13
743,13
744,13
745,13
746,13
